dataset,sample,has_gt,before_network_psnr,before_network_ssim,before_network_noise_est,before_network_sharpness,after_network_psnr,after_network_ssim,after_network_noise_est,after_network_sharpness,baseline_gaussian_psnr,baseline_gaussian_ssim,baseline_gaussian_noise_est,baseline_gaussian_sharpness,baseline_nlm_psnr,baseline_nlm_ssim,baseline_nlm_noise_est,baseline_nlm_sharpness,baseline_bm3d_psnr,baseline_bm3d_ssim,baseline_bm3d_noise_est,baseline_bm3d_sharpness
US,M1_full_0018,False,,,19.27353595255745,6155.189453125,,,1.4825796886582654,1493.5010986328125,,,2.965159377316531,1518.620590209961,,,2.965159377316531,3028.884666442871,,,1.4825796886582654,2480.8597259521484
US,M1_full_0019,False,,,19.27353595255745,6172.837509155273,,,1.4825796886582654,1464.3414001464844,,,2.965159377316531,1508.340705871582,,,2.965159377316531,3033.8271560668945,,,1.4825796886582654,2491.130126953125
US,M1_full_0020,False,,,19.27353595255745,6013.239212036133,,,1.4825796886582654,1368.3924560546875,,,2.965159377316531,1425.7941436767578,,,2.965159377316531,2901.778289794922,,,1.4825796886582654,2364.884017944336
US,M1_full_0021,False,,,19.27353595255745,5813.449890136719,,,1.4825796886582654,1270.8253707885742,,,2.965159377316531,1369.0238494873047,,,2.965159377316531,2683.62020111084,,,1.4825796886582654,2199.2705688476562
US,M1_full_0022,False,,,19.27353595255745,6061.274276733398,,,1.4825796886582654,1372.3151016235352,,,2.965159377316531,1443.638687133789,,,2.965159377316531,2892.9104919433594,,,1.4825796886582654,2346.929130554199
US,M1_full_0023,False,,,19.27353595255745,6114.390365600586,,,1.4825796886582654,1427.8215560913086,,,2.965159377316531,1487.5740280151367,,,2.965159377316531,2996.4122161865234,,,1.4825796886582654,2436.6687774658203
US,M1_full_0024,False,,,19.27353595255745,6036.22322845459,,,1.4825796886582654,1391.7501220703125,,,2.965159377316531,1461.4270248413086,,,2.965159377316531,2887.1159133911133,,,1.4825796886582654,2368.5481338500977
US,M1_full_0025,False,,,19.27353595255745,6319.497940063477,,,1.4825796886582654,1482.9899826049805,,,2.965159377316531,1521.6316146850586,,,2.965159377316531,3099.5888290405273,,,1.4825796886582654,2544.2396087646484
US,M1_full_0026,False,,,19.27353595255745,6407.516510009766,,,1.4825796886582654,1573.0027236938477,,,2.965159377316531,1541.245376586914,,,2.965159377316531,3230.8512115478516,,,1.4825796886582654,2659.7657470703125
US,M1_full_0027,False,,,19.27353595255745,6333.365036010742,,,1.4825796886582654,1557.5993118286133,,,2.965159377316531,1568.8590698242188,,,2.965159377316531,3202.086311340332,,,1.4825796886582654,2615.257957458496
US,M1_full_0028,False,,,19.27353595255745,6567.249076843262,,,1.4825796886582654,1654.1568756103516,,,2.965159377316531,1622.7912521362305,,,2.965159377316531,3375.047348022461,,,1.4825796886582654,2720.3675994873047
US,M1_full_0029,False,,,19.27353595255745,6251.480125427246,,,1.4825796886582654,1528.9541320800781,,,2.965159377316531,1534.0695114135742,,,2.965159377316531,3094.991279602051,,,1.4825796886582654,2531.674674987793
US,M1_full_0030,False,,,19.27353595255745,6469.4599533081055,,,1.4825796886582654,1620.9828338623047,,,2.965159377316531,1596.7052612304688,,,2.965159377316531,3278.674530029297,,,1.4825796886582654,2686.9822387695312
US,M1_full_0031,False,,,19.27353595255745,6535.36848449707,,,1.4825796886582654,1679.5201034545898,,,2.965159377316531,1638.6245803833008,,,2.965159377316531,3315.3171157836914,,,1.4825796886582654,2748.7819900512695
US,M1_full_0032,False,,,19.27353595255745,6445.716377258301,,,1.4825796886582654,1603.7397994995117,,,2.965159377316531,1603.3330612182617,,,2.965159377316531,3250.8484802246094,,,1.4825796886582654,2686.06014251709
US,M1_full_0033,False,,,19.27353595255745,6461.606689453125,,,1.4825796886582654,1648.228416442871,,,2.965159377316531,1621.1410751342773,,,2.965159377316531,3309.018165588379,,,1.4825796886582654,2724.798652648926
US,M1_full_0034,False,,,19.27353595255745,6327.331588745117,,,1.4825796886582654,1587.0746765136719,,,2.965159377316531,1577.7144012451172,,,2.965159377316531,3211.628242492676,,,1.4825796886582654,2633.4075622558594
US,M1_full_0035,False,,,19.27353595255745,6209.5909423828125,,,1.4825796886582654,1512.2033081054688,,,2.965159377316531,1509.6804122924805,,,2.965159377316531,3088.4552993774414,,,1.4825796886582654,2533.506233215332
US,M1_full_0036,False,,,19.27353595255745,5965.393409729004,,,1.4825796886582654,1441.139259338379,,,2.965159377316531,1456.7410430908203,,,2.965159377316531,2893.556671142578,,,1.4825796886582654,2353.0120162963867
US,M1_full_0037,False,,,19.27353595255745,6020.734809875488,,,1.4825796886582654,1461.6884994506836,,,2.965159377316531,1486.2045288085938,,,2.965159377316531,2932.072723388672,,,1.4825796886582654,2373.510696411133
US,M1_full_0038,False,,,19.27353595255745,5826.318420410156,,,1.4825796886582654,1316.8801879882812,,,2.965159377316531,1380.5257415771484,,,2.965159377316531,2732.416572570801,,,1.4825796886582654,2210.4851455688477
US,M1_full_0039,False,,,19.27353595255745,5891.198501586914,,,1.4825796886582654,1356.9327774047852,,,2.965159377316531,1412.6406021118164,,,2.965159377316531,2825.1539916992188,,,1.4825796886582654,2281.5065155029297
US,M1_full_0040,False,,,19.27353595255745,6117.985679626465,,,1.4825796886582654,1394.2628479003906,,,2.965159377316531,1459.8297500610352,,,2.965159377316531,2904.058151245117,,,1.4825796886582654,2370.975685119629
